company,contact_name,contact_email,contact_phone,industry,city,state,website,employee_count,lead_source,icp_score,tier,discovered_at
Good Neighbors Air Conditioning,,,(239) 216-4759,hvac,Bonita Springs,FL,https://goodneighborsair.com/,,existing_leads,83,Tier 2,2026-03-31T13:00:03.402178
Grande Aire Services Inc.,,,(239) 746-8240,hvac,Bonita Springs,FL,https://www.grandeaire.com/naples/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Bonita-Springs-FL,,existing_leads,83,Tier 2,2026-03-31T13:00:03.402210
General Air and Plumbing - An Elevate Home Services Company,,,(239) 748-0609,hvac,Bonita Springs,FL,https://www.generalairplumbing.com/,,existing_leads,83,Tier 2,2026-03-31T13:00:03.402213
"Comfort Control Air Conditioning Specialists, Inc.",,,(239) 404-4755,hvac,Bonita Springs,FL,https://www.airconditioningcomfort.com/,,existing_leads,83,Tier 2,2026-03-31T13:00:03.402245
Dr. Kool Air Conditioning,,,(239) 510-9927,hvac,Bonita Springs,FL,https://drkoolac.com/?utm_source=GBP&utm_medium=GBP,,existing_leads,83,Tier 2,2026-03-31T13:00:03.402250
Whaley's Air Conditioning Inc - An Elevate Home Services company,,,(239) 992-6453,hvac,Bonita Springs,FL,https://elevatemyhome.com/whaleys-air-conditioning,,existing_leads,83,Tier 2,2026-03-31T13:00:03.402302
Chace Joseph Air Conditioning,,,(239) 293-1589,hvac,Bonita Springs,FL,http://chacejosephac.com/,,existing_leads,83,Tier 2,2026-03-31T13:00:03.402318
Comfort Caddies,,,(239) 402-4099,hvac,Bonita Springs,FL,https://www.comfortcaddies.com/,,existing_leads,83,Tier 2,2026-03-31T13:00:03.402331
Hvac Supply,,,(239) 390-8144,hvac,Bonita Springs,FL,http://www.hvacsupplyinc.com/,,existing_leads,83,Tier 2,2026-03-31T13:00:03.402340
Heating & Air Conditioning,,,(239) 251-1221,hvac,Bonita Springs,FL,,,existing_leads,78,Tier 2,2026-03-31T13:00:03.402316
Carden-239 HVAC Repair Cooling & Heating,,,(239) 221-0219,hvac,Bonita Springs,FL,,,existing_leads,78,Tier 2,2026-03-31T13:00:03.402349
26 Degree HVAC LLC,,,(239) 264-0324,hvac,Marco Island,FL,http://www.26degreehvac.com/,,existing_leads,75,Tier 2,2026-03-31T13:00:03.402180
Dor-Mar Marco Island Service,,,(239) 382-7077,hvac,Marco Island,FL,https://www.dormarhvac.com/locations/collier-county-fl/marco-island-fl/,,existing_leads,75,Tier 2,2026-03-31T13:00:03.402266
Southern Comfort Air,,,(239) 642-6642,hvac,Marco Island,FL,http://www.southerncomfortairllc.com/,,existing_leads,75,Tier 2,2026-03-31T13:00:03.402274
"Condee Cooling & Electric, Inc.",,,(239) 394-5121,hvac,Marco Island,FL,http://condee.com/,,existing_leads,75,Tier 2,2026-03-31T13:00:03.402304
"Accurate Comfort Services - Marco Island, FL",,,(239) 389-9600,hvac,Marco Island,FL,https://accuratecomfortservices.com/,,existing_leads,75,Tier 2,2026-03-31T13:00:03.402326
FosterCare Heating and Air,,,(239) 572-1693,hvac,Marco Island,FL,http://www.fostercareair.com/,,existing_leads,75,Tier 2,2026-03-31T13:00:03.402335
Bonita Chiropractic Center,,,(239) 992-5311,chiropractor,Bonita Springs,FL,https://bonitachiro.com/,,existing_leads,68,Tier 2,2026-03-31T13:00:03.402361
Bohn Chiropractic Clinic,,,(239) 947-3330,chiropractor,Bonita Springs,FL,http://www.bohnchiropractic.com/,,existing_leads,68,Tier 2,2026-03-31T13:00:03.402366
Gulfside Chiropractic Health Center,,,(239) 908-9762,chiropractor,Bonita Springs,FL,http://gulfsidechiropractic.com/,,existing_leads,68,Tier 2,2026-03-31T13:00:03.402371
Coastal Chiropractic Health Solutions,,,(239) 390-0607,chiropractor,Bonita Springs,FL,http://www.coastalchiropractichealth.com/,,existing_leads,68,Tier 2,2026-03-31T13:00:03.402392
Optimal Health Clinic,,,(239) 947-1177,chiropractor,Bonita Springs,FL,https://www.chiropractorbonitasprings.com/,,existing_leads,68,Tier 2,2026-03-31T13:00:03.402423
Corrective Spinal Care of Florida,,,(239) 558-5866,chiropractor,Bonita Springs,FL,https://www.flspinalcare.com/,,existing_leads,68,Tier 2,2026-03-31T13:00:03.402428
Bennett Chiropractic and Wellness Center,,,(239) 763-1288,chiropractor,Bonita Springs,FL,http://www.bennett-chiropractic.com/,,existing_leads,68,Tier 2,2026-03-31T13:00:03.402455
Marco Chiropractic & Medical Rehab Clinic,,,(239) 394-7221,chiropractor,Marco Island,FL,https://mcmrclinic.com/,,existing_leads,60,Tier 2,2026-03-31T13:00:03.402380
Where Spines Align Chiropractic,,,(239) 970-2211,chiropractor,Marco Island,FL,http://www.wsachiro.com/,,existing_leads,60,Tier 2,2026-03-31T13:00:03.402396
Gutierrez William P. Dc,,,(239) 642-0076,chiropractor,Marco Island,FL,http://drwilliamgutierrez.com/,,existing_leads,60,Tier 2,2026-03-31T13:00:03.402448
